Review_ID,Rating,Year_Month,Reviewer_Location,Review_Text,Branch
305683957,5,2015-08-01,Portugal,"I  ve previously been to 3 Disney Resorts. So I had my expectations sky high for the original park. And they were more than fulfilled. Even so it is a smaller park than many of its counterparts it had that magical feeling almost like you can ran into Walt itself when strolling trough main street. Reserve a day to get to know this park and some of its  can not miss  attractions like haunted mansion, pirates of the Caribbean, peter pans flight, space mountain, splash mountain and finish day with the astonishing paint the night parade.",Disneyland_California
666364898,3,2018-10-01,United States,"The Hong Kong Disneyland is quite small, there are too many people and the waiting line is long. it took average one hour or more in the line. however, the transit Disneyland tram is very nice, very impressive!",Disneyland_HongKong
293082325,3,2015-06-01,United States,"My wife, my 15 year old son, and I went to Disneyland Park on June 30, 2015; a hot, sunny, 95 degree day.We knew that two main attractions were down; Space Mountain and I can't remember the other one. What made this visit so average was all of the technical difficulties they had on the other rides. We went to Pirates of the Caribbean and couldn't get in because they were having technical difficulties so come back later. We went to Phantom Manor and couldn't get in because they were having technical difficulties so come back later. We went to Buzz Lightyear and there was a one hour wait so we got a FastPass. We went back at the stated time couldn't get in because they were having technical difficulties so come back later. This happened over and over.We won't be going back.",Disneyland_Paris
334650140,1,2015-11-01,United Kingdom,"Our family had the unfortunate experience of being in Paris on the weekend of 13th   16th November during the tragic terrorist attacks.We purchased 3 day tickets for Disneyland Paris, we used these on 13 11 but obviously were unable to use these on the Saturday and Sunday as the parks were understandably closed. In the wider scheme of things our weekend being different than expected was not an issue, however I am very disappointed in Disney who are refusing to refund on the unused tickets stating that it is not within the terms and conditions. We have been to Disney parks on many occasions but a global organisation with children at it's centre aiming to profit from tragedy is disgusting and as such we will never return.",Disneyland_Paris
393553042,3,2016-07-01,United States,HK Disney is very small and lines for the big attractions are long. We did enjoy our day and took in a few attractions and the Lion King Show. We really enjoyed the Philharmagic 3 D movie!,Disneyland_HongKong
175685909,5,2013-08-01,United Kingdom,Nothing but fun fun fun! had a brilliant time with my son and Fiancee for my birthday! everybody is happy with great senses of humor and had a fantastic day on my birthday. The parade was brilliant and shocked my 2 year old son but we have great video footage and pictures for great memories. Was a wonderful day in a magical place ahhh!,Disneyland_Paris
150353289,5,2013-01-01,India,Should not miss the Disney Flights Parade.. Wow wonderful to see the characters live and kids will be mesmerized. Due to new year season we experienced tooooo much crowd and queues in every point of Disneyland.,Disneyland_HongKong
224797068,5,2014-08-01,United Kingdom,"everything   i am disney mad !!!  very busy in august, plan your days !!  best place to eat is the plaza gardens ( see my review)",Disneyland_Paris
310708679,5,2015-04-01,United Kingdom,"Wow! What a great experience! We went back in April 2015 and travelled with a group of 7 adults and 4 children. We had a 2 day pass to the parks, maybe could have done with another day in the park (we did both the Disney Studios and Disneyland Paris) but did get to see and do a lot. 2 of our group were seniors and We hired a wheelchair as the park is big and a lot of walking around. Wheelchair was easy to hire and we had it for 2 days (taking it back to the hotel each night). The park is lovely. Lots going on and lots to see and do. Staff are all friendly and always willing to help.The children in our party are aged between 2   4 and there was lots and lots for them. (My daughter especially liked 'it's a small world' ride   I lost count the among of times we went on it!) We didn't queue for a lot but think that was because of the time of year we went (not in holidays). My mum and dad were given a fast pass which they used to go on the train ride around the park and avoided the queues. I did notice the fast pass entrances to the rides were empty so people with them didn't have to queue at all, but maybe it was due to the time of year we went. There are a variety of places to get food in the park, pizza, chicken & chips, sandwiches and the usual snacks   ice cream, waffles etc. Prices are a little more than you may expect, but we didn't find it too bad. You can also go to the Disney Village to get food where there is a macdonalds, Planet Hollywood and Starbucks among others. We took snacks with us for the little ones   packed a cool bag each day so avoided having to keep buying crisps juice etc. Although did buy 3 tubs of popcorn and a bag of Doritos which set me back nearly    20! Lots and lots of Disney shops within the park   all selling the same stuff and a bit more expensive I found. The parade is really good, all the Disney characters parade around the park on amazing floats. The light show in the evening is amazing too. Well worth staying in the park until closing time to see! I've never been to USA Disney so can't really compare it but I would defiantly go back here. Disney really is the most magical place on earth!",Disneyland_Paris
126717664,5,2012-03-01,United States,"I loved everything! :)  It's the Happiest Place on Earth, you know?",Disneyland_California
118802079,5,2011-09-01,United States,I went there with 2 daughters   1 y.o. and 4 y.o. Both of them were very excited. Little one liked most of the rides (the only one she didn't like was  It's a little world . It was too long for her. Older one was super happy to see the real princesses :),Disneyland_California
174308145,3,2013-08-01,United Kingdom,The two parks are within easy walking distance of each other. if you plan your days properly you can get fast passes for both parks to get the most of your time there. Can get very busy and crowded in peak season. A lot of characters walking around to meet and greet. The park offers a typical Disney experience but as we only Visited the Orlando parks last year we felt that this was worth the visit but not a patch on the Walt Disney World!If you want to drink alcohol at this Disney and you are not an American citizen you also have to carry your passport around with you as they will not accept an EU driving license.,Disneyland_California
136041197,3,2012-02-01,United Kingdom,"This is nothing compare to Disneyland in Florida. The weather is cold, the queues are long and ridiculous, you need a reservation for dinner. The park is not managed well.I found staff in Disneyland Paris to be very rude and a little racist. This would never happen in the US,   they are a lot more friendly there.The stewards that escort the Disney charactors around the park never smile and again aren't really cut out for their job.",Disneyland_Paris
192562490,5,2014-01-01,Australia,"This place is the epitome of Disney. You smell Disney, with a maple like smell piped through the park. You see Disney when you look at the architectural feats in the park. You hear Disney in the live performances. But mostly you feel the joy of Disney, and childhood nostalgia, when you are there. Grizzly Gulch has an incredible rollercoaster that my kids couldnt get enough of. Food was relatively well priced (for a theme park) and there was a pretty good variety too. It is incredibly clean.You just feel happy being here. Highly reccomend",Disneyland_HongKong
512395501,4,2017-07-01,United States,"Went to Shanghai Disneyland what a big difference when we went to Hong Kong Disneyland. It's like night and day!! Less crowded the people are not rude, no cutting lines everyone waits their turn. Really enjoyed seeing the Tarzan play it highlighted the Chinese acrobatic talent. That was probably my favorite show at Disneyland. Because it is not crowded we were able to see and cover more of the park in less hours. We only had time for about half day   4 hours and it was plenty enough time to cover what we wanted to see and do. All in all this is a pleasant experience and worth going to visit despite everyone saying it's so small and not worth it. Believe it I enjoyed myself here more than Shanghai Disneyland. Thumbs up for Hong Kong Disneyland and the people have more class here and wait patienty their turn.",Disneyland_HongKong
124811435,3,2012-02-01,United Kingdom,"Half term at Disneyland Paris is not for the feint hearted, a birthday treat for the kids it may have been, but definitely became an exercise in maintaining parental boundaries and discipline. I honestly don   t think I have seen so many chastised kids in one place! Basically this is a total retail experience with a few fairground attractions thrown in. Granted the kids loved seeing the characters and it certainly toughened them up to a more continental approach to the notion of queuing and taking your turn but increasingly as the days passed the whole experience became clearly over priced enticement to buy Disney products. Both Disneyland and Walt Disney Studios have limited rides for toddlers & younger children and all have long queues for a very short ride. The birthday tea party with the characters cost   17 per person (Kids & Adults alike) for that we got coffee, juice and a selection of pastries & marshmallows. The additional Birthday cake cost a further   31 (Booked through Disneydirect). It was a perfectly nice chocolate cake but certainly not a   31 cake! We put all that aside and accepted that like everything else the Disney mark up and increased costs in France played there part. The parks themselves were not fully open and many areas were being repaired or constructed, this certainly didn   t promote the magical experience promised. Our youngest was very confused that all the characters spoke French first and then English this was slightly distracting when trying to suspend his disbelief. While the hotel Cheyenne that we stayed in was comfortable and clean, the dinning arrangements were not an enjoyable experience. The Chuck Wagon cafe provided a buffet style arrangement that involved long queues again despite the laughable encouragement to reserve a table????. Once in the buffet area a free for all ensued which trying to navigate with two kids was a complete nightmare, then locate a free and cleared table to settle everyone to finally eat. Breakfasts were much the same. Oh and If you want a coffee in your room you will need to buy the  tea basket  7e for two tea bags, two coffee sachets, 4 UHT milk pots, 4 sugars and 4 Disney biscuits. I wasn   t naive enough to think that the magic kingdom was really as glossy and wonderful as its adverts would have you believe, however I wasn   t quite prepared to feel as though I'd been totally fleeced by a mouse.My advice if you really want the kids to experience Disney, then go to Florida, at least there   s less chance it will be cold and rainy.",Disneyland_Paris
234839532,5,2014-07-01,United Kingdom,"Been to Disneyland Paris in July 2014 with the family. Had an absolute blast of a time. Took the Eurostar out of London St Pancras. Had to change over locally onto a TGV coach which heads straight into the heart of the park in Marne la Vallee station. We had a package deal including travel, hotel and theme park reservation. They have 7 Disney hotels to suit various budgets. There are loads more in the vicinity which are cheaper and provide great deals including entry tickets to the park and to and fro coach drops. We stayed at The Disney New York Hotel which is the second priciest one on the grounds. Great hotel with excellent facilities, friendly staff and very helpful concierge facilities. I would strongly recommend enrolling for the Buffet breakfast as it is brilliant and is a great start to the day. Once your topped up, all you need is a snack here and there to see you through the day till dinner time. Also topping yourself up ensures that you do not feel sick on the rides   Contrary to popular belief. Staying at the Disney Hotels has the added benefit of a walking distance to the park with early entry an hour before opening. (CAUTION: Not all the big rides are available during this period, but it is still worth it  you could easily get 4   8 great rides depending on how eager and lucky you are)The rides are great and there is always something for everyone. Queues can get long between rides at peak times and you can book 1 ride at a time for fast pass entry. As my wife and daughter were not eager on any of the big rides   it was down to me and my son double fast passing rides on their tickets. Adjacent to the park by its side is the Walt Disney studios, which is a must see but not as impressive as the park.The firework displays in the evening is an absolute must see.Visiting Paris is easy as there are trains from the local station heading into Paris (approximately 30 minutes). So if Disney Florida is too distant a dream then Paris is the answer. I am sure you are bound to enjoy it. As I said there is always something for everyone to do.",Disneyland_Paris
247838261,4,2014-12-01,Austria,The whole park is beautifully made and just a childs dream. (You have to look at all the details). You can expect to wait averagely 30 Minutes for a ride. But its a thing I  d like to experience again and again.,Disneyland_Paris
239683154,5,2014-10-01,United States,It's always a blast going back to Disney. It's where adults can be kids again. Take your kids and watch them smile. Go on a weekday and try it in October during their Halloween themed nights and you'll be talking about it for a while. Staff is always nice.,Disneyland_California
217900614,5,2014-07-01,New Zealand,"Nobody loves queuing so arriving early in Fantasyland and having no queue at all for the Peter Pan and Snow White rides was awesome.. staying late at night is worthwhile as we could go on Pirates of the Caribbean a few extra times, and Splash Mountain is something else at night! Lots of people leave after Fantasmic, so stay and enjoy the park for the next hour and a half!",Disneyland_California
141923872,4,2012-09-01,Canada,First time going... but hopefully not the last! Tons to see and do! Worth the money for sure. Tip: Get the southern California City pass,Disneyland_California
146606112,4,2012-11-01,Guam,Getting there was pretty simple.  It's a good day tour specially with kids (or kids at heart).  Lots of fun and lots to see and do.  Souvenir shops abound (kinda pricey) but it's Disney!,Disneyland_HongKong
480680524,4,2017-04-01,United States,"We have been to both Disney parks and this is much better.  The rides are a lot closer, it is not as crowded, and it doesn't require a week.  If you are getting a fast pass get one for Indiana Jones or Space Mountain first...More",Disneyland_California
284693982,5,2014-09-01,United States,"I AM COMPARING BOTH FLORIDA AND CALIFORNIA'S DISNEY PARK,  Yes , Florida is bigger but bigger is not better. I like the original it does have more to offer me as an older 60 year old kid.",Disneyland_California
427522572,5,2016-10-01,Australia,Even after all these years Disneyland is a special place to visit.  The crowds are huge but it is worth the visit.,Disneyland_California
445582847,3,2016-07-01,India,"Its good but quite kiddish. Its basically for kids below 12 years, not worth for teenagers. We visited it as my daughter didn't want to leave Hongkong without visiting disneyland",Disneyland_HongKong
146155234,5,2012-11-01,United States,"Eventhough it was November Christmas season had just begun. Out of all my visits to the park this season was a first for me.  It is now my favorite time to visit the park. I love the decorations, parades and the feel overall!",Disneyland_California
